Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2u2","C_0402_1005Metric",-31.250000,27.350000,90.000000,top
"C2","2u2","C_0402_1005Metric",-36.250000,27.350000,90.000000,top
"C3","2u2","C_0402_1005Metric",-31.250000,31.600000,90.000000,top
"C4","2u2","C_0402_1005Metric",-36.250000,31.615000,90.000000,top
"C5","100n","C_0402_1005Metric",-33.485000,18.100000,180.000000,top
"C6","2u2","C_0402_1005Metric",-33.485000,19.100000,180.000000,top
"C7","2u2","C_0402_1005Metric",-33.485000,14.100000,180.000000,top
"C8","100n","C_0402_1005Metric",-33.485000,15.100000,180.000000,top
"C9","2u2","C_0402_1005Metric",-22.000000,22.365000,90.000000,top
"C10","2u2","C_0402_1005Metric",-23.000000,22.365000,90.000000,top
"C11","100n","C_0402_1005Metric",-33.485000,12.100000,180.000000,top
"C12","100n","C_0402_1005Metric",-18.985000,11.850000,0.000000,top
"C13","100n","C_0402_1005Metric",-31.500000,22.350000,90.000000,top
"C14","100n","C_0402_1005Metric",-33.485000,10.100000,180.000000,top
"C15","100n","C_0402_1005Metric",-18.985000,10.100000,0.000000,top
"C16","100n","C_0402_1005Metric",-19.500000,18.985000,90.000000,top
"C17","100n","C_0402_1005Metric",-24.000000,22.365000,90.000000,top
"C18","100n","C_0402_1005Metric",-30.500000,22.350000,270.000000,top
"C19","100n","C_0402_1005Metric",-16.515000,29.865000,0.000000,top
"C20","100n","C_0402_1005Metric",-16.485000,19.865000,0.000000,top
"C21","100n","C_0402_1005Metric",-10.985000,29.865000,180.000000,top
"C22","100n","C_0402_1005Metric",-11.015000,19.850000,180.000000,top
"C23","30pF","C_0402_1005Metric",-33.765000,25.100000,180.000000,top
"C24","30pF","C_0402_1005Metric",-37.000000,22.365000,90.000000,top
"C25","NF","C_0402_1005Metric",-43.485000,7.850000,180.000000,top
"C26","100n","C_0402_1005Metric",-35.750000,19.850000,270.000000,top
"D1","YELLOW","LED_0603_1608Metric",-27.080000,31.378000,270.000000,top
"D2","BLUE","LED_0603_1608Metric",-22.000000,31.378000,270.000000,top
"D3","GREEN","LED_0603_1608Metric",-22.000000,37.474000,270.000000,top
"D4","YELLOW","LED_0603_1608Metric",-24.540000,37.474000,270.000000,top
"D5","GREEN","LED_0603_1608Metric",-24.540000,31.378000,270.000000,top
"FB1","600R, 0.5A","L_0402_1005Metric",-33.485000,20.100000,0.000000,top
"FB2","600R, 0.5A","L_0402_1005Metric",-33.485000,13.100000,0.000000,top
"FB3","600R, 0.5A","L_0402_1005Metric",-37.000000,19.865000,270.000000,top
"J1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",-43.000000,15.600000,270.000000,top
"J5","CORTEX","PinHeader_2x05_P1.27mm_Vertical_SMD",-4.220000,34.680000,0.000000,top
"J6","LA","PinHeader_2x07_P1.27mm_Vertical_SMD",-27.050000,5.490000,270.000000,top
"J7","I2C","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",-36.205000,3.175000,0.000000,top
"Q1","BSH103","SOT-23_RoundRect",-23.250000,26.600000,90.000000,top
"R1","5k1","R_0402_1005Metric",-37.000000,17.600000,270.000000,top
"R2","5k1","R_0402_1005Metric",-37.000000,13.585000,270.000000,top
"R3","1M","R_0402_1005Metric",-43.500000,9.100000,180.000000,top
"R4","330","R_0402_1005Metric",-27.057000,29.092000,180.000000,top
"R5","330","R_0402_1005Metric",-22.000000,29.092000,180.000000,top
"R6","12k, 1%","R_0402_1005Metric",-33.485000,17.100000,0.000000,top
"R7","10k","R_0402_1005Metric",-33.485000,11.100000,0.000000,top
"R8","330","R_0402_1005Metric",-21.977000,35.188000,0.000000,top
"R9","330","R_0402_1005Metric",-24.540000,35.188000,0.000000,top
"R10","10k","R_0402_1005Metric",-8.485000,28.100000,180.000000,top
"R11","330","R_0402_1005Metric",-24.540000,29.092000,0.000000,top
"R12","10k","R_0402_1005Metric",-31.000000,23.850000,0.000000,top
"R13","10k","R_0402_1005Metric",-25.250000,22.365000,270.000000,top
"R14","10k","R_0402_1005Metric",-28.985000,25.350000,0.000000,top
"R15","2.2k","R_0402_1005Metric",-26.765000,25.350000,0.000000,top
"R16","330","R_0402_1005Metric",-14.380000,32.850000,0.000000,top
"R17","1M","R_0402_1005Metric",-10.985000,31.100000,180.000000,top
"R18","10k","R_0402_1005Metric",-18.500000,18.985000,270.000000,top
"R19","10k","R_0402_1005Metric",-18.985000,28.600000,180.000000,top
"R20","10k","R_0402_1005Metric",-19.500000,4.130000,270.000000,top
"R21","10k","R_0402_1005Metric",-19.500000,6.615000,90.000000,top
"R22","2k2","R_0402_1005Metric",-21.000000,22.350000,270.000000,top
"R24","10k","R_0402_1005Metric",-25.750000,27.365000,270.000000,top
"RN1","100k","R_Array_Convex_4x0402_RoundRect",-19.000000,16.400000,0.000000,top
"RN2","100k","R_Array_Convex_4x0402_RoundRect",-19.000000,13.800000,0.000000,top
"RN3","100","R_Array_Convex_4x0402_RoundRect",-8.500000,15.750000,0.000000,top
"RN4","100","R_Array_Convex_4x0402_RoundRect",-8.500000,13.150000,0.000000,top
"RN5","100","R_Array_Convex_4x0402_RoundRect",-19.000000,26.400000,0.000000,top
"RN6","100","R_Array_Convex_4x0402_RoundRect",-19.000000,23.800000,0.000000,top
"RN7","100k","R_Array_Convex_4x0402_RoundRect",-8.500000,25.750000,0.000000,top
"RN8","100k","R_Array_Convex_4x0402_RoundRect",-8.500000,23.150000,0.000000,top
"U1","AP7365-18","SOT-23-5_RoundRect",-33.750000,27.850000,180.000000,top
"U2","AP7365-33","SOT-23-5_RoundRect",-33.750000,32.100000,180.000000,top
"U3","FT2232HQ","QFN-64-1EP_9x9mm_P0.5mm_EP4.35x4.35mm_ThermalVias",-27.000000,15.600000,0.000000,top
"U4","93LC46BT-I/OT","SOT-23-6_RoundRect",-27.900000,22.850000,180.000000,top
"U5","SN74LVC8T245","TSSOP-24_4.4x7.8mm_P0.65mm",-13.730000,15.100000,0.000000,top
"U6","SN74LVC8T245","TSSOP-24_4.4x7.8mm_P0.65mm",-13.730000,25.100000,0.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm_RoundRect",-34.250000,22.750000,180.000000,top
